id;trainee_id;exercise_id;note;created_by;created_date;modified_by;modified_date
1;82700;58074;Table;78273;2022-07-11;33262;2022-07-10
2;66398;47595;invoice Small;46757;2022-07-10;31572;2022-07-10
3;71871;77729;cohesive;29729;2022-07-11;15573;2022-07-10
4;30506;3573;well-modulated deposit Coordinator;33875;2022-07-11;24855;2022-07-10
5;71024;96462;Senior solutions exuding;24254;2022-07-10;46976;2022-07-11
6;87109;62009;Refined feed Bacon;24660;2022-07-11;3296;2022-07-11
7;16902;43889;Assurance;91618;2022-07-11;81029;2022-07-11
8;11593;53279;Cheese solutions Ecuador;30099;2022-07-10;16698;2022-07-10
9;48380;20921;emulation Steel Ameliorated;72098;2022-07-11;21126;2022-07-10
10;18743;37178;communities;47054;2022-07-10;97948;2022-07-10
